N,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT,DUREE DE STABILITE
1107,035/06 E 230/15,06 E 230,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CANDERAX PLUS,COMPRIME,"8MG/12,5MG",B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2015-10-04 00:00:00,2015-10-04 00:00:00,GE,F,36 MOIS
1108,235/06 E 230/15,06 E 230,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CARDAXEL PLUS,COMPRIME,"8MG/12,5MG",B/30,LISTE I,HOP,OFF,,BIOGALENIC,ALGERIE,2015-11-08 00:00:00,2015-11-08 00:00:00,GE,F,24 MOIS
1109,256/06 E 230/06/23,06 E 230,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,HYTACAND,COMPRIME,"8MG/12,5MG",B/30,LISTE I,HOP,OFF,,ASTRA ZENECA,SUISSE,2006-12-24 00:00:00,2024-04-18 00:00:00,RE,F,36 MOIS
1110,352/06 E 230/14/19,06 E 230,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CO SARCAND,COMPRIME,"8MG/12,5MG",B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-01-30 00:00:00,2019-02-14 00:00:00,GE,F,36 MOIS
1111,447/06 E 230/12/23,06 E 230,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CO-ATABEK,COMPRIME,"8MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2012-10-15 00:00:00,2023-04-12 00:00:00,GE,F,24 MOIS
1112,289/06 E 230/24,06 E 230,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,SARTACAND PLUS,COMPRIME,"8MG/12,5MG",B/30,LISTE I,HOP,OFF,,FRATER-RAZES FORME SECHE,ALGERIE,2024-04-17 00:00:00,2024-04-17 00:00:00,GE,F,24 MOIS
1113,001/06 E 231/09/23,06 E 231,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,BLOPRESS 16 PLUS,COMPRIME SECABLE,"16MG/12,5MG",B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2009-06-30 00:00:00,2023-02-06 00:00:00,GE,F,36 MOIS
1114,035/06 E 231/15,06 E 231,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CANDERAX PLUS,COMPRIME,"16MG/12,5MG",B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2015-07-26 00:00:00,2015-07-26 00:00:00,GE,F,36 MOIS
1115,235/06 E 231/15,06 E 231,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CARDAXEL PLUS,COMPRIME,"16MG/12,5MG",B/30,LISTE I,HOP,OFF,,BIOGALENIC,ALGERIE,2015-12-13 00:00:00,2015-12-13 00:00:00,GE,F,24 MOIS
1116,256/06 E 231/06/23,06 E 231,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,HYTACAND,COMPRIME,"16MG/12,5MG",B/30,LISTE I,HOP,OFF,,ASTRA ZENECA,SUISSE,2007-01-15 00:00:00,2024-04-18 00:00:00,RE,F,36 MOIS
1117,352/06 E 231/14/19,06 E 231,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CO SARCAND,COMPRIME,"16MG/12,5MG",B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-01-21 00:00:00,2019-02-14 00:00:00,GE,F,36 MOIS
1118,447/06 E 231/12/23,06 E 231,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,CO-ATABEK,COMPRIME SECABLE,"16MG/12,5MG",B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2012-10-15 00:00:00,2023-04-12 00:00:00,GE,F,36 MOIS
1119,289/06 E 231/24,06 E 231,CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,SARTACAND PLUS,COMPRIME,"16MG/12,5MG",B/30,LISTE I,HOP,OFF,,FRATER-RAZES FORME SECHE,ALGERIE,2024-04-17 00:00:00,2024-04-17 00:00:00,GE,F,24 MOIS
1120,001/06 E 234/07/23,06 E 234,CANDESARTAN CILEXETIL,BLOPRESS 16MG,COMPRIME SECABLE,16MG,B/28,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2007-07-09 00:00:00,2023-02-06 00:00:00,GE,F,36 MOIS
1121,035/06 E 234/15,06 E 234,CANDESARTAN CILEXETIL,CANDERAX,COMPRIME SECABLE,16MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2015-07-15 00:00:00,2015-07-15 00:00:00,GE,F,36 MOIS
1122,235/06 E 234/15,06 E 234,CANDESARTAN CILEXETIL,CARDAXEL BGL,COMPRIME SECABLE,16MG,B/30,LISTE I,HOP,OFF,,BIOGALENIC,ALGERIE,2015-02-22 00:00:00,2015-02-22 00:00:00,GE,F,24 MOIS
1123,256/06 E 234/07/23,06 E 234,CANDESARTAN CILEXETIL,ATACAND,COMPRIME SECABLE,16MG,B/30,LISTE I,HOP,OFF,,ASRA ZENECA AB,SUEDE,2007-02-25 00:00:00,2024-04-18 00:00:00,RE,F,36 MOIS
1124,317/06 E 234/19,06 E 234,CANDESARTAN CILEXETIL,TENSIONORM,COMPRIME SECABLE,16MG,B/30,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2019-05-20 00:00:00,2019-05-20 00:00:00,GE,F,24 MOIS
1125,352/06 E 234/14/18,06 E 234,CANDESARTAN CILEXETIL,SARCAND,COMPRIME,16MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-01-06 00:00:00,2019-01-21 00:00:00,GE,F,24 MOIS
1126,380/06 E 234/20,06 E 234,CANDESARTAN CILEXETIL,ATASARTAN,COMPRIME SECABLE,16MG,B/30,LISTE I,HOP,OFF,,HUPP PHARMA,ALGERIE,2020-08-26 00:00:00,2020-08-26 00:00:00,GE,F,24 MOIS
1127,447/06 E 234/12,06 E 234,CANDESARTAN CILEXETIL,ATABEK,COMPRIME SECABLE,16MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2012-10-15 00:00:00,2012-10-15 00:00:00,GE,F,36 MOIS
1128,490/06 E 234/23,06 E 234,CANDESARTAN CILEXETIL,KANZEN,COMPRIME,16MG,B/30,LISTE I,HOP,OFF,,SARL PHARMA SPHERE,ALGERIE,2023-05-31 00:00:00,2023-05-31 00:00:00,GE,F,24 MOIS
1129,001/06 E 237/14/19,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-ARBITAN,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2014-04-01 00:00:00,2014-04-01 00:00:00,GE,F,36 MOIS
1130,035/06 E 237/16,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,VALACLOR PLUS,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2016-04-12 00:00:00,2016-04-12 00:00:00,GE,F,24 MOIS
1131,068/06 E 237/07/24,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,COTAREG,COMPRIME PELLICULE,"160MG/12,5MG",B/28,LISTE I,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,2007-03-07 00:00:00,2024-03-17 00:00:00,RE,F,36 MOIS
1132,149/06 E 237/14,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,NOVAVALZ PLUS,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2014-02-16 00:00:00,2014-02-16 00:00:00,GE,F,24 MOIS
1133,173/06 E 237/22,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-TABUVAN,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,EURL TABUK ALGERIE,ALGERIE,2022-05-12 00:00:00,2024-03-06 00:00:00,GE,F,36 MOIS
1134,195/06 E 237/13,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,CO VALSARTAN IVAL,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,PHARMA IVAL SPA,ALGERIE,2013-04-07 00:00:00,2013-04-07 00:00:00,GE,F,
1135,268/06 E 237/14/23,06 E 237,VALSARTAN / HYDRACHLOROTHIAZIDE,CO-VALEX,COMPRIME PELLICULE,160MG/12.5MG,BOITE DE 30,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2014-01-06 00:00:00,2024-01-21 00:00:00,GE,F,36 MOIS
1136,309/06 E 237/14,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,VALSARTAN/HYDROCHLOROTHIAZIDE LDM,COMPRIME PELLICULE,"160MG/12,5MG",B/28,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2014-04-28 00:00:00,2014-04-28 00:00:00,GE,F,
1137,320/06 E 237/09/15,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,THIA-VALSAN,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,ALGERIAN GENERICS DEVELOPMENT PHARMA (AGD PHARMA),ALGERIE,2009-05-02 00:00:00,2015-11-03 00:00:00,GE,F,36 MOIS
1138,352/06 E 237/10/16,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,COSARTEG,COMPRIME ENROBE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2010-06-30 00:00:00,2016-02-02 00:00:00,GE,F,36 MOIS
1139,447/06 E 237/14/23,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,CO VALASTAN,COMPRIME PELLICULE,"160MG/12,5MG",B/28 ET B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2014-03-19 00:00:00,2023-04-12 00:00:00,GE,F,36 MOIS
1140,470/06 E 237/12/18,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,COVESTAG,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,SARL LABORATOIRES MM,ALGERIE,2012-08-21 00:00:00,2018-08-01 00:00:00,GE,F,36 MOIS
1141,518/06 E 237/16,06 E 237,VALSARTAN/HYDROCHLOROTHIAZIDE,DIVALAN PLUS,COMPRIME PELLICULE,"160MG/12,5MG",B/30,LISTE I,HOP,OFF,,TAPHCO,ALGERIE,2016-12-04 00:00:00,2016-12-04 00:00:00,GE,F,24 MOIS
1142,001/06 E 238/14,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-ARBITAN,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2014-04-01 00:00:00,2014-04-01 00:00:00,GE,F,36 MOIS
1143,035/06 E 238/16,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,VALACLOR PLUS,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2016-01-10 00:00:00,2016-01-10 00:00:00,GE,F,36 MOIS
1144,068/06 E 238/07/24,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,COTAREG,COMPRIME PELLICULE,160MG/25MG,B/28,LISTE I,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,2007-04-03 00:00:00,2024-03-17 00:00:00,RE,F,36 MOIS
1145,149/06 E 238/14,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,NOVAVALZ PLUS,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I,HOP,OFF,,NOVAPHARM TRADING SARL,ALGERIE,2014-03-09 00:00:00,2014-03-09 00:00:00,GE,F,24 MOIS
1146,173/06 E 238/22,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-TABUVAN,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I,HOP,OFF,,EURL TABUK ALGERIE,ALGERIE,2022-05-12 00:00:00,2023-05-31 00:00:00,GE,F,36 MOIS
1147,195/06 E 238/14,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-VALSARTAN IVAL,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I,HOP,OFF,,PHARMA IVAL SPA,ALGERIE,2014-11-18 00:00:00,2014-11-18 00:00:00,GE,F,24 MOIS
1148,268/06 E 238/14/23,06 E 238,VALSARTAN / HYDRACHLOROTHIAZIDE,CO-VALEX,COMPRIME PELLICULE,160MG/25MG,BOITE DE 30,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2014-01-06 00:00:00,2024-01-21 00:00:00,GE,F,24 MOIS
1149,309/06 E 238/17,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,VLASARTAN+HCTZ LDM,COMPRIME PELLICULE,160MG/25MG,B/28,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2017-04-12 00:00:00,2017-04-12 00:00:00,GE,F,24 MOIS
1150,317/06 E 238/16/23,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,CO-RETA,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2016-02-04 00:00:00,2023-01-29 00:00:00,GE,F,24 MOIS
1151,320/06 E 238/09/15,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,THIA-VALSAN,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I,HOP,OFF,,ALGERIAN GENERICS DEVELOPMENT PHARMA (AGD PHARMA),ALGERIE,2009-05-02 00:00:00,2015-11-03 00:00:00,GE,F,36 MOIS
1152,447/06 E 238/11/23,06 E 238,VALSARTAN/HYDROCHLOROTHIAZIDE,CO VALASTAN,COMPRIME PELLICULE,160MG/25MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2011-08-24 00:00:00,2023-04-06 00:00:00,GE,F,36 MOIS
1153,005/06 E 239/07/23,06 E 239,LOSARTAN POTASSIQUE / HYDROCHLOROTHIAZIDE,FORTAZAAR,COMPRIME PELLICULE,100MG / 25MG,BOITE DE 28,LISTE I,HOP,OFF,,ORGANON N.V.,FRANCE,2007-07-09 00:00:00,2023-12-17 00:00:00,RE,F,36 MOIS
1154,317/06 E 239/11/22,06 E 239,LOSARTAN POTASSIQUE/ HYDROCHLOROTHIAZIDE,CO-NORTA FORT,COMPRIME PELLICULE SECABLE,100MG/25MG,B/28,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2011-05-04 00:00:00,2022-12-29 00:00:00,GE,F,36 MOIS
1155,447/06 E 239/11/17,06 E 239,LOSARTAN POTASSIQUE/HYDROCHLOROTHIAZIDE,COBEKTAL,COMPRIME PELLICULE,100MG/25MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2011-01-05 00:00:00,2017-02-27 00:00:00,GE,F,36 MOIS
1156,528/06 E 239/19,06 E 239,LOSARTAN POTASSIQUE/HYDROCHLOROTHIAZIDE,FORLYSART,COMPRIME PELLICULE,100MG/25MG,B/28,LISTE I,HOP,OFF,,JANIS MED SARL,ALGERIE,,,GE,F,24 MOIS
1157,005/06 E 240/07/23,06 E 240,LOSARTAN POTASSIQUE,COZZAR,COMPRIME PELLICULE,100MG,BOITE DE 28,LISTE I,HOP,OFF,,ORGANON N.V.,FRANCE,2007-03-18 00:00:00,2023-12-17 00:00:00,RE,F,36 MOIS
1158,024/06 E 240/07/17,06 E 240,LOSARTAN POTASSIQUE,COZAAR,COMPRIME PELLICULE,100MG,B/28,LISTE I,HOP,OFF,,MERCK SHARP &DHOME LIMITED,FRANCE,2007-03-18 00:00:00,2017-06-29 00:00:00,RE,F,36 MOIS
1159,309/06 E 240/15,06 E 240,LOSARTAN POTASSIQUE,LOSARTAN LDM,COMPRIME PELLICULE,100MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,F,24 MOIS
1160,317/06 E 240/11/22,06 E 240,LOSARTAN POTASSIQUE,NORTA FORT,COMPRIME PELLICULE SECABLE,100MG,B/28,LISTE I,HOP,OFF,,INPHA-MEDIS,ALGERIE,2011-06-14 00:00:00,2022-12-29 00:00:00,GE,F,36 MOIS
1161,447/06 E 240/11/16,06 E 240,LOSARTAN POTASSIQUE,BEKTAL,COMPRIME PELLICULE,100MG,B/30 ET B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2011-02-28 00:00:00,2016-09-05 00:00:00,GE,F,36 MOIS
1162,468/06 E 240/12/18,06 E 240,LOSARTAN POTASSIQUE,HYSARTAN,COMPRIME PELLICULE SECABLE,100MG,B/28,LISTE I,HOP,OFF,,NADPHARMADIC-PRODUCTION,ALGERIE,2012-10-15 00:00:00,2018-02-05 00:00:00,GE,F,36 MOIS
1163,352/06 E 246/14/22,06 E 246,PERINDOPRIL TER-BUTYLAMINE,PERINDOSYL,COMPRIME PELLICULE,8MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2014-06-08 00:00:00,2022-10-26 00:00:00,GE,F,24 MOIS
1164,447/06 E 246/12/23,06 E 246,PERINDOPRIL TER-BUTYLAMINE,PERINDOPRIL BEKER,COMPRIME,8MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2012-10-15 00:00:00,2023-03-29 00:00:00,GE,F,36 MOIS
1165,035/06 E 256/18,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,IRBISART +,COMPRIME PELLICULE,300MG/25MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2018-07-16 00:00:00,2018-07-16 00:00:00,GE,F,24 MOIS
1166,055/06 E 256/19/24,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,GIZLAN-PLUS 300/25,COMPRIME PELLICULE,300MG/25MG,B/30,LISTE I,HOP,OFF,,DAR AL DAWA,JORDANIE,2019-03-06 00:00:00,2024-05-26 00:00:00,GE,F,36 MOIS
1167,268/06 E 256/15/24,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-ARADEX 300/25,COMPRIME,300MG/25MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2015-06-24 00:00:00,2024-01-21 00:00:00,GE,F,36 MOIS
1168,309/06 E 256/22,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-IRBEZART,COMPRIME PELLICULE,300MG/25MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2022-12-29 00:00:00,2024-05-23 00:00:00,GE,F,36 MOIS
1169,352/06 E 256/12/23,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO APROSART,COMPRIME PELLICULE,300MG/25MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2012-12-23 00:00:00,2023-07-03 00:00:00,GE,F,36 MOIS
1170,447/06 E 256/10/23,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-IRBEK,COMPRIME PELLICULE,300MG/25MG,B/30 ET B/90,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2010-12-22 00:00:00,2023-04-12 00:00:00,GE,F,36 MOIS
1171,492/06 E 256/22,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO-IRBEDIM,COMPRIME PELLICULE,300MG/25MG,B/30,LISTE I,HOP,OFF,,SOPRODIM SPA,ALGERIE,2022-12-29 00:00:00,2022-12-29 00:00:00,GE,F,24 MOIS
1172,510/06 E 256/16,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,CO AVASART,COMPRIME PELLICULE,300MG/25MG,B/30,LISTE I,HOP,OFF,,ALEMBIC MAMI SPA,ALGERIE,2016-04-27 00:00:00,2016-04-27 00:00:00,GE,F,24 MOIS
1173,544/06 E 256/11/21,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,IPISART PLUS,COMPRIME PELLICULE,300MG/25MG,B/30,LISTE I,HOP,OFF,,SARL WORLD MEDICINE,ALGERIE,2011-09-20 00:00:00,2021-05-26 00:00:00,GE,F,36 MOIS
1174,392/06 E 256/08/24,06 E 256,IRBESARTAN/HYDROCHLOROTHIAZIDE,COAPROVEL,COMPRIME PELLICULE,300MG/25MG,B/28,LISTE I,HOP,OFF,,SANOFI AVENTIS ALGERIE SPA,ALGERIE,2008-07-27 00:00:00,2024-03-21 00:00:00,RE,F,36 MOIS
1175,001/06 E 257/16,06 E 257,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXBITAN,COMPRIME PELLICULE,5MG/80MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2016-12-04 00:00:00,2016-12-04 00:00:00,GE,F,24 MOIS
1176,035/06 E 257/15,06 E 257,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXSART,COMPRIME PELLICULE,5MG/80MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2015-05-31 00:00:00,2015-05-31 00:00:00,GE,F,36 MOIS
1177,039/06 E 257/15,06 E 257,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLOVAL,COMPRIME PELLICULE,5MG/80MG,B/30,LISTE I,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE SOPHAL SPA,ALGERIE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,F,24 MOIS
1178,068/06 E 257/08/23,06 E 257,VALSARTAN / AMLODIPINE,EXFORGE,COMPRIME PELLICULE,80mg/5mg,boite de 28,,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,2008-07-27 00:00:00,2023-12-10 00:00:00,RE,I,36 MOIS
1179,173/06 E 257/20,06 E 257,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,LOTEVAN,COMPRIME PELLICULE,05MG/80MG,B/30,LISTE I,HOP,OFF,,EURL TABUK ALGERIE,ALGERIE,2020-12-15 00:00:00,2020-12-15 00:00:00,GE,F,24 MOIS
1180,293/06 E 257/18,06 E 257,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,BIOFORGE,COMPRIME PELLICULE,5MG/80MG,B/30 ET B/90,LISTE I,HOP,OFF,,BIOCARE,ALGERIE,2018-07-16 00:00:00,2018-07-16 00:00:00,GE,F,24 MOIS
1181,309/06 E 257/14/23,06 E 257,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLODIPINE+VALSARTAN LDM,COMPRIME PELLICULE,5MG/80MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2014-11-30 00:00:00,2023-03-16 00:00:00,GE,F,24 MOIS
1182,352/06 E 257/11/22,06 E 257,AMLODIPINE BESILATE (AMLODIPÏNE/VALSARTAN ),EXVAL,COMPRIME PELLICULE,5MG/80MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2011-10-12 00:00:00,2022-05-15 00:00:00,GE,F,36 MOIS
1183,418/06 E 257/16,06 E 257,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXFORMEDIC,COMPRIME PELLICULE,5MG/80MG,B/28,LISTE I,HOP,OFF,,NEOMEDIC,ALGERIE,2016-11-15 00:00:00,2016-11-15 00:00:00,GE,F,24 MOIS
1184,447/06 E 257/16/23,06 E 257,AMLODIPINE BESILATE (AMLODIPINE)/ VALSARTAN,DARTIX,COMPRIME PELLICULE,5MG/80MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES BEKER,ALGERIE,2016-07-26 00:00:00,2023-02-14 00:00:00,GE,F,36 MOIS
1185,470/06 E 257/16,06 E 257,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,VESTAMOL,COMPRIME PELLICULE,5MG/80MG,B/30,LISTE I,HOP,OFF,,SARL LABORATOIRES MM,ALGERIE,2016-12-04 00:00:00,2016-12-04 00:00:00,GE,F,24 MOIS
1186,001/06 E 258/16,06 E 258,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXBITAN,COMPRIME PELLICULE,5MG/160MG,B/30,LISTE I,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2016-12-04 00:00:00,2016-12-04 00:00:00,GE,F,24 MOIS
1187,035/06 E 258/17,06 E 258,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXSART,COMPRIME PELLICULE,5MG/160MG,B/30,LISTE I,HOP,OFF,,PHARMALLIANCE,ALGERIE,2017-05-28 00:00:00,2017-05-28 00:00:00,GE,F,36 MOIS
1188,039/06 E 258/15,06 E 258,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLOVAL,COMPRIME PELLICULE,5MG/160MG,B/30,LISTE I,HOP,OFF,,SOCIETE PHARMACEUTIQUE ALGERIENNE SOPHAL SPA,ALGERIE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,F,24 MOIS
1189,055/06 E 258/19,06 E 258,AMLODIPINE BESILATE (AMLODIPINE)/ VALSARTAN,ANGIOSAR,COMPRIME PELLICULE,5MG/160MG,B/30,LISTE I,HOP,OFF,,DAR AL DAWA,JORDANIE,2019-04-30 00:00:00,2022-12-29 00:00:00,GE,F,36 MOIS
1190,068/06 E 258/08/23,06 E 258,VALSARTAN / AMLODIPINE,EXFORGE,COMPRIME PELLICULE,160MG/5MG,BOITE DE 28,LISTE I,HOP,OFF,,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,2008-07-27 00:00:00,2023-12-10 00:00:00,RE,I,36 MOIS
1191,173/06 E 258/20,06 E 258,AMLODIPINE / VALSARTAN,LOTEVAN,COMPRIME PELLICULE,5 MG/160 MG,BOITE DE 30,LISTE I,HOP,OFF,,EURL TABUK ALGERIE,ALGERIE,2020-12-16 00:00:00,2023-07-03 00:00:00,GE,F,36 MOIS
1192,309/06 E 258/14/23,06 E 258,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,AMLODIPINE+VALSARTAN LDM,COMPRIME PELLICULE,5MG/160MG,B/30,LISTE I,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2014-06-01 00:00:00,2023-03-16 00:00:00,GE,F,24 MOIS
1193,352/06 E 258/11/17,06 E 258,AMLODIPINE BESILATE EXPRIME EN AMLODIPINE/VALSARTAN,EXVAL,COMPRIME PELLICULE,5MG/160MG,B/30,LISTE I,HOP,OFF,,EL KENDI,ALGERIE,2011-10-12 00:00:00,2017-10-30 00:00:00,GE,F,24 MOIS
